Company,Year,Revenue (B USD),Change (%)
Samsung,2025,219.58,0.18
Samsung,2024,219.17,11.38
Samsung,2023,196.77,-15.6
Samsung,2022,233.13,-3.15
Samsung,2021,240.71,18.33
Samsung,2020,203.43,2.73
Samsung,2019,198.03,-10.67
Samsung,2018,221.67,3.31
Samsung,2017,214.57,22.25
Samsung,2016,175.51,0.49
Samsung,2015,174.66,-10.53
Samsung,2014,195.22,-7.42
Samsung,2013,210.86,14.46
Samsung,2012,184.22,25.8
Samsung,2011,146.43,9.32
Samsung,2010,133.94,17.87
Samsung,2009,113.64,8.92
Samsung,2008,104.33,-2.25
Samsung,2007,106.73,
NVIDIA,2025,148.51,13.81
NVIDIA,2024,130.49,114.2
NVIDIA,2023,60.92,125.85
NVIDIA,2022,26.97,0.22
NVIDIA,2021,26.91,61.4
NVIDIA,2020,16.67,52.73
NVIDIA,2019,10.91,-6.81
NVIDIA,2018,11.71,20.61
NVIDIA,2017,9.71,40.58
NVIDIA,2016,6.91,37.92
NVIDIA,2015,5.01,7.02
NVIDIA,2014,4.68,13.35
NVIDIA,2013,4.13,-3.5
NVIDIA,2012,4.28,7.06
NVIDIA,2011,3.99,12.83
NVIDIA,2010,3.54,6.52
NVIDIA,2009,3.32,-2.87
NVIDIA,2008,3.42,-16.42
NVIDIA,2007,4.09,33.53
NVIDIA,2006,3.06,29.17
NVIDIA,2005,2.37,18.19
NVIDIA,2004,2.01,10.26
NVIDIA,2003,1.82,-4.53
NVIDIA,2002,1.90,40.01
NVIDIA,2001,1.36,85.49
NVIDIA,2000,0.73,96.38
NVIDIA,1999,0.37,
TSMC,2024,88.34,25.4
TSMC,2023,70.45,-4.62
TSMC,2022,73.86,28.71
TSMC,2021,57.39,20.29
TSMC,2020,47.71,34.1
TSMC,2019,35.57,5.4
TSMC,2018,33.75,2.4
TSMC,2017,32.96,12.81
TSMC,2016,29.22,10.81
TSMC,2015,26.36,6.02
TSMC,2014,24.87,24.99
TSMC,2013,19.90,13.97
TSMC,2012,17.46,20.48
TSMC,2011,14.49,0.32
TSMC,2010,14.44,56.07
TSMC,2009,9.25,-8.73
TSMC,2008,10.14,1.93
TSMC,2007,9.94,2.13
TSMC,2006,9.74,15.88
TSMC,2005,8.40,-2.26
TSMC,2004,8.60,35.92
TSMC,2003,6.32,16.58
TSMC,2002,5.42,24.86
TSMC,2001,4.34,-21.66
TSMC,2000,5.54,117.78
TSMC,1999,2.54,51.6
TSMC,1998,1.68,14.27
TSMC,1997,1.47,
Broadcom,2025,54.52,0
Broadcom,2024,54.52,40.3
Broadcom,2023,38.86,12.94
Broadcom,2022,34.41,20.74
Broadcom,2021,28.50,15.46
Broadcom,2020,24.68,8.91
Broadcom,2019,22.66,6.36
Broadcom,2018,21.31,13.21
Broadcom,2017,18.82,20.6
Broadcom,2016,15.60,124.25
Broadcom,2015,6.96,33.97
Broadcom,2014,5.19,95.82
Broadcom,2013,2.65,11.61
Broadcom,2012,2.37,1.19
Broadcom,2011,2.34,7.41
Broadcom,2010,2.18,39.12
Broadcom,2009,1.57,
Intel,2025,53.04,-0.11
Intel,2024,53.10,-2.08
Intel,2023,54.22,-14
Intel,2022,63.05,-20.21
Intel,2021,79.02,1.49
Intel,2020,77.86,8.2
Intel,2019,71.96,1.58
Intel,2018,70.84,12.89
Intel,2017,62.76,5.68
Intel,2016,59.38,7.28
Intel,2015,55.35,-0.92
Intel,2014,55.87,6
Intel,2013,52.70,-1.19
Intel,2012,53.34,-1.22
Intel,2011,53.99,23.79
Intel,2010,43.62,24.19
Intel,2009,35.12,-6.54
Intel,2008,37.58,-1.95
Intel,2007,38.33,8.34
Intel,2006,35.38,-8.87
Intel,2005,38.82,13.5
Intel,2004,34.20,13.5
Intel,2003,30.14,12.62
Intel,2002,26.76,0.85
Intel,2001,26.53,-21.31
Intel,2000,33.72,14.76
Intel,1999,29.38,11.86
Intel,1998,26.27,4.8
Intel,1997,25.07,20.26
Intel,1996,20.84,
SK Hynix,2025,50.79,5.76
SK Hynix,2024,48.03,92.95
SK Hynix,2023,24.89,-27.67
SK Hynix,2022,34.41,-6.92
SK Hynix,2021,36.97,35.13
SK Hynix,2020,27.36,17.83
SK Hynix,2019,23.22,-36.76
SK Hynix,2018,36.72,35.93
SK Hynix,2017,27.01,81.02
SK Hynix,2016,14.92,-8.94
SK Hynix,2015,16.38,1.29
SK Hynix,2014,16.17,24
SK Hynix,2013,13.04,40.32
SK Hynix,2012,9.29,0.27
SK Hynix,2011,9.27,
QUALCOMM,2025,42.28,3.91
QUALCOMM,2024,40.69,12.13
QUALCOMM,2023,36.29,-15.52
QUALCOMM,2022,42.95,19.21
QUALCOMM,2021,36.03,35.02
QUALCOMM,2020,26.69,8.9
QUALCOMM,2019,24.50,14.29
QUALCOMM,2018,21.44,-3.96
QUALCOMM,2017,22.32,-6.11
QUALCOMM,2016,23.77,-0.75
QUALCOMM,2015,23.95,-11.15
QUALCOMM,2014,26.96,5.87
QUALCOMM,2013,25.47,24.51
QUALCOMM,2012,20.45,25.57
QUALCOMM,2011,16.29,39.68
QUALCOMM,2010,11.66,10.36
QUALCOMM,2009,10.56,-5.8
QUALCOMM,2008,11.21,20.74
QUALCOMM,2007,9.29,19.08
QUALCOMM,2006,7.80,29.51
QUALCOMM,2005,6.02,18.98
QUALCOMM,2004,5.06,25.02
QUALCOMM,2003,4.05,17.81
QUALCOMM,2002,3.43,27.42
QUALCOMM,2001,2.69,-1.23
QUALCOMM,2000,2.73,-33.63
QUALCOMM,1999,4.11,17.5
QUALCOMM,1998,3.50,40.51
QUALCOMM,1997,2.49,136.03
QUALCOMM,1996,1.05,
ASML,2025,33.05,8.77
ASML,2024,30.38,1.55
ASML,2023,29.92,34.81
ASML,2022,22.19,2.62
ASML,2021,21.62,32.58
ASML,2020,16.31,23.41
ASML,2019,13.21,2.9
ASML,2018,12.84,23.2
ASML,2017,10.42,39.23
ASML,2016,7.48,7.68
ASML,2015,6.95,-9.18
ASML,2014,7.65,9.1
ASML,2013,7.01,14
ASML,2012,6.15,-21.25
ASML,2011,7.81,31.74
ASML,2010,5.93,160.66
ASML,2009,2.27,-48.98
ASML,2008,4.46,-15.23
ASML,2007,5.26,14.69
ASML,2006,4.59,48.18
ASML,2005,3.09,-1
ASML,2004,3.12,73.07
ASML,2003,1.80,-16.66
ASML,2002,2.16,29.99
ASML,2001,1.66,-13.79
ASML,2000,1.93,55
ASML,1999,1.24,31.42
ASML,1998,0.95,6.34
ASML,1997,0.89,26.63
ASML,1996,0.70,
Micron Technology,2025,31.32,7.66
Micron Technology,2024,29.09,79.8
Micron Technology,2023,16.18,-40.41
Micron Technology,2022,27.15,-8.32
Micron Technology,2021,29.61,34.24
Micron Technology,2020,22.06,6.91
Micron Technology,2019,20.63,-34.49
Micron Technology,2018,31.50,36.04
Micron Technology,2017,23.15,77.86
Micron Technology,2016,13.01,-13.03
Micron Technology,2015,14.96,-11.37
Micron Technology,2014,16.88,49.71
Micron Technology,2013,11.28,41.4
Micron Technology,2012,7.97,-7.51
Micron Technology,2011,8.62,-4.09
Micron Technology,2010,8.99,74.95
Micron Technology,2009,5.14,-9.93
Micron Technology,2008,5.70,0.26
Micron Technology,2007,5.69,4.65
Micron Technology,2006,5.44,9.2
Micron Technology,2005,4.98,9.31
Micron Technology,2004,4.55,29.71
Micron Technology,2003,3.51,23.27
Micron Technology,2002,2.85,2.22
Micron Technology,2001,2.78,-59.32
Micron Technology,2000,6.85,50.49
Micron Technology,1999,4.55,59.18
Micron Technology,1998,2.86,-23.59
Micron Technology,1997,3.74,17.16
Micron Technology,1996,3.19,
Applied Materials,2025,28.08,1.64
Applied Materials,2024,27.63,4.34
Applied Materials,2023,26.48,0.88
Applied Materials,2022,26.25,8.61
Applied Materials,2021,24.17,32.8
Applied Materials,2020,18.20,21.21
Applied Materials,2019,15.01,-9.03
Applied Materials,2018,16.50,6.75
Applied Materials,2017,15.46,30.54
Applied Materials,2016,11.84,23.95
Applied Materials,2015,9.55,3.42
Applied Materials,2014,9.24,13.72
Applied Materials,2013,8.12,0.28
Applied Materials,2012,8.10,-19.12
Applied Materials,2011,10.01,-3.54
Applied Materials,2010,10.38,87.85
Applied Materials,2009,5.52,-25.03
Applied Materials,2008,7.37,-22.73
Applied Materials,2007,9.54,-0.44
Applied Materials,2006,9.58,35.62
Applied Materials,2005,7.06,-14.19
Applied Materials,2004,8.23,65.47
Applied Materials,2003,4.97,-2.69
Applied Materials,2002,5.11,-15.92
Applied Materials,2001,6.08,-40.38
Applied Materials,2000,10.20,73.21
Applied Materials,1999,5.89,69.48
Applied Materials,1998,3.47,-23.53
Applied Materials,1997,4.54,15.39
Applied Materials,1996,3.94,
